drug_a,drug_b,severity,mechanism,effect,Safer_alternative,rationale,reference
Glipizide,Fluconazole,moderate,May increase glipizide levels,Monitor for hypoglycemia,Other antifungals if appropriate,Lower interaction potential,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Hydralazine,Diazoxide,moderate,Additive hypotensive effect,Monitor blood pressure,Use one agent at a time,Excessive hypotension risk,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Isoniazid,Carbamazepine,moderate,May increase carbamazepine levels,Monitor carbamazepine levels,Other antibiotics if appropriate,Lower interaction potential,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Levothyroxine,Sucralfate,moderate,Binding in GI tract,Decreased absorption of levothyroxine,Space doses by 4+ hours,Prevents binding interaction,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Metronidazole,Warfarin,moderate,May increase INR,Monitor coagulation parameters,Other antibiotics if appropriate,Lower interaction potential,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Nifedipine,Quinidine,moderate,May increase quinidine levels,Monitor quinidine levels,Other calcium channel blockers,Lower interaction potential,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Oxcarbazepine,Felodipine,moderate,May decrease felodipine levels,Monitor blood pressure,Other antiepileptics if appropriate,Lower interaction potential,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Paroxetine,Procyclidine,moderate,May increase procyclidine levels,Increased anticholinergic side effects,Other SSRIs if appropriate,Lower interaction potential,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Quinine,Digoxin,moderate,May increase digoxin levels,Monitor for digoxin toxicity,Other antimalarials if appropriate,Lower interaction potential,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Rifampin,Verapamil,moderate,CYP induction may decrease verapamil levels,Reduced efficacy,Amlodipine,Not metabolized by inducible enzymes,Clin Pharmacol Ther
Salmeterol,Timolol,moderate,Antagonism of bronchodilator effect,Reduced asthma control,Cardioselective beta blocker,Less bronchoconstrictive effect,Am J Respir Crit Care Med
Telithromycin,Midazolam,moderate,CYP3A4 inhibition may increase midazolam levels,Increased sedation,Azithromycin,Weaker CYP3A4 inhibition,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Valproic Acid,Meropenem,moderate,May decrease valproic acid levels,Reduced efficacy,Alternative antibiotic,No significant interaction,Epilepsy Behav
Warfarin,Dronedarone,moderate,May increase INR,Monitor coagulation parameters,Amiodarone (with dose adjustment),Different warfarin dose management,Eur Heart Journal
Atenolol,Diphenhydramine,minor,Additive sedative effects,Increased drowsiness,Loratadine or Cetirizine,Non-sedating antihistamines,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Cephalexin,Metformin,minor,May slightly increase metformin levels,Minimal clinical significance,Monitor or continue with caution,Interaction is typically not clinically relevant,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Codeine,Chlorpromazine,minor,Additive CNS depression,Increased drowsiness,Monitor or adjust doses,Careful titration needed,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Diazepam,Isoniazid,minor,May slightly increase diazepam levels,Minimal increase in sedation,Monitor or consider lorazepam,Lorazepam has simpler metabolism,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Enalapril,Amiloride,minor,Additive hyperkalemia risk,Monitor potassium levels,Loop diuretic instead of amiloride,Promotes potassium excretion,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Famotidine,Cetirizine,minor,No significant interaction expected,Generally safe to use together,None needed,No known interaction,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Guaifenesin,Dextromethorphan,minor,No significant interaction expected,Generally safe to use together,None needed,No known interaction,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Hydrocortisone,Indapamide,minor,Additive hypokalemia risk,Monitor potassium levels,Monitor or supplement potassium,Usually manageable with monitoring,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Ibuprofen,Pseudoephedrine,minor,No significant interaction expected,Generally safe to use together,None needed,No known interaction,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Lactulose,Electrolyte Supplements,minor,May alter electrolyte absorption,Monitor electrolytes if concerned,Space doses if needed,Minimal clinical significance,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Mupirocin,Betamethasone,minor,No significant interaction expected,Generally safe to use together,None needed,No known interaction,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Naproxen,Penicillin VK,minor,No significant interaction expected,Generally safe to use together,None needed,No known interaction,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Olopatadine,Loratadine,minor,Additive anticholinergic effects,"Increased dry mouth, possible drowsiness",Use one agent at a time,Duplicative therapy,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Pantoprazole,Sucralfate,minor,May decrease absorption of PPI,Space doses by 2+ hours,Space doses appropriately,Prevents binding interaction,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Quetiapine,Ramipril,minor,Potential for additive hypotension,Monitor blood pressure,Monitor or adjust doses,Usually manageable with monitoring,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Ranitidine,Furosemide,minor,No significant interaction expected,Generally safe to use together,None needed,No known interaction,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Sennosides,Docusate,minor,No significant interaction expected,Generally safe to use together,None needed,No known interaction,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Tetracycline,Zinc Supplements,minor,Chelation; decreased absorption of both,Space doses by 2+ hours,Space doses appropriately,Prevents binding interaction,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Ursodiol,Cholestyramine,minor,Binds ursodiol; decreased efficacy,Space doses by 5+ hours,Space doses appropriately,Prevents binding interaction,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Vitamin C,Fluphenazine,minor,May decrease fluphenazine levels,Minimal clinical significance,Monitor or continue with caution,Interaction is typically not clinically relevant,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Warfarin,Ginseng,minor,May decrease anticoagulant effect,Monitor INR,Avoid herbal product,Patient education is important,Ann Pharmacother
Xylometazoline,Phenylephrine,minor,Additive vasoconstrictive effects,Generally safe for short-term use,Use one agent at a time,Duplicative therapy,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Zinc,Ciprofloxacin,minor,Chelation; decreased ciprofloxacin absorption,Space doses by 2+ hours,Space doses appropriately,Prevents binding interaction,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Amoxicillin,Allopurinol,minor,Increased risk of amoxicillin rash,Generally not serious,Other antibiotics if history of rash,Lower risk with other antibiotics,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Bisoprolol,Rivastigmine,minor,Additive bradycardia risk,Monitor heart rate,Monitor or adjust doses,Usually manageable with monitoring,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Chlorthalidone,Naproxen,minor,NSAIDs may decrease diuretic efficacy,Monitor for edema,Acetaminophen,Does not affect diuretic efficacy,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Doxycycline,Barbiturates,minor,CYP induction may decrease doxycycline levels,Minimal clinical significance,Monitor or continue with caution,Interaction is typically not clinically relevant,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Erythromycin,Bromocriptine,minor,May increase bromocriptine levels,Minimal clinical significance,Monitor or continue with caution,Interaction is typically not clinically relevant,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Fluoxetine,Perphenazine,minor,May increase perphenazine levels,Minimal clinical significance,Monitor or continue with caution,Interaction is typically not clinically relevant,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Glyburide,Colestipol,minor,Binds glyburide; decreased absorption,Space doses by 2+ hours,Space doses appropriately,Prevents binding interaction,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Haloperidol,Methyldopa,minor,Additive hypotensive effects,Monitor blood pressure,Monitor or adjust doses,Usually manageable with monitoring,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Insulin,Clonidine,minor,May decrease insulin secretion,Monitor glucose levels,Monitor or adjust doses,Usually manageable with monitoring,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Ketoconazole,Buspirone,minor,May increase buspirone levels,Minimal clinical significance,Monitor or continue with caution,Interaction is typically not clinically relevant,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Levofloxacin,Didanosine,minor,Chelation with buffered didanosine,Decreased absorption,Space doses by 2+ hours,Prevents binding interaction,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Metoclopramide,Levodopa,minor,Antagonizes levodopa's effect,Minimal clinical significance,Domperidone if available,Does not cross blood-brain barrier,Mov Disord
Nystatin,Clotrimazole,minor,No significant interaction expected,Generally safe to use together,None needed,No known interaction,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Omeprazole,Ketoconazole,minor,Increased gastric pH may decrease ketoconazole absorption,Space doses or use liquid formulation,Space doses appropriately,Optimizes absorption,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Phenytoin,Pyridoxine,minor,May decrease phenytoin levels,Minimal clinical significance,Monitor or continue with caution,Interaction is typically not clinically relevant,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Quetiapine,Thioridazine,minor,Additive QT prolongation risk,Monitor ECG if concerned,Avoid combination if possible,"Theoretical risk, usually minimal","Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Risperidone,Carbamazepine,minor,CYP induction may decrease risperidone levels,Minimal clinical significance,Monitor or continue with caution,Interaction is typically not clinically relevant,J Clin Psychopharmacol
Spironolactone,Digoxin,minor,May slightly increase digoxin levels,Minimal clinical significance,Monitor or continue with caution,Interaction is typically not clinically relevant,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Telmisartan,Digoxin,minor,May slightly increase digoxin levels,Minimal clinical significance,Monitor or continue with caution,Interaction is typically not clinically relevant,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Valaciclovir,Cimetidine,minor,May increase valaciclovir levels,Minimal clinical significance,Monitor or continue with caution,Interaction is typically not clinically relevant,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Warfarin,Avocado,minor,Vitamin K content may decrease anticoagulant effect,Maintain consistent dietary intake,Consistent dietary intake,Patient education on maintaining consistent diet,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Zafirlukast,Theophylline,minor,May increase theophylline levels,Monitor theophylline levels,Monitor or adjust doses,Usually manageable with monitoring,Ann Pharmacother
Alendronate,Calcium Carbonate,minor,Binding; decreased alendronate absorption,Space doses by 2+ hours,Space doses appropriately,Prevents binding interaction,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Bumetanide,Lithium,minor,Diuretic-induced sodium loss may increase lithium levels,Monitor lithium levels,Monitor or adjust doses,Usually manageable with monitoring,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Cimetidine,Metronidazole,minor,May increase metronidazole levels,Minimal clinical significance,Monitor or continue with caution,Interaction is typically not clinically relevant,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Diclofenac,Colchicine,minor,May increase colchicine levels,Minimal clinical significance,Monitor or continue with caution,Interaction is typically not clinically relevant,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Esomeprazole,Voriconazole,minor,May increase voriconazole levels,Minimal clinical significance,Monitor or continue with caution,Interaction is typically not clinically relevant,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Folic Acid,Phenytoin,minor,May decrease phenytoin levels,Minimal clinical significance,Monitor or continue with caution,Interaction is typically not clinically relevant,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Glimepiride,Rifampin,minor,CYP induction may decrease glimepiride levels,Monitor glucose levels,Monitor or adjust doses,Usually manageable with monitoring,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Hydroxychloroquine,Digoxin,minor,May increase digoxin levels,Monitor digoxin levels,Monitor or adjust doses,Usually manageable with monitoring,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Itraconazole,Alprazolam,minor,May increase alprazolam levels,Minimal clinical significance,Monitor or continue with caution,Interaction is typically not clinically relevant,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Linagliptin,Rifampin,minor,May slightly decrease linagliptin levels,Minimal clinical significance,Monitor or continue with caution,Interaction is typically not clinically relevant,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Montelukast,Gemfibrozil,minor,May increase montelukast levels,Minimal clinical significance,Monitor or continue with caution,Interaction is typically not clinically relevant,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Nitroglycerin,Sildenafil,minor,Additive hypotensive effect (Major if taken within 24h),Avoid combination within 24 hours,Space doses appropriately,Risk decreases with time separation,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Ondansetron,Apomorphine,minor,Additive hypotensive effect,Monitor blood pressure,Monitor or adjust doses,Usually manageable with monitoring,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Propranolol,Chlorpromazine,minor,May increase levels of both drugs,Minimal clinical significance,Monitor or continue with caution,Interaction is typically not clinically relevant,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Quinine,Atorvastatin,minor,May increase atorvastatin levels,Monitor for muscle pain,Monitor or adjust doses,Usually manageable with monitoring,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Rosuvastatin,Fenofibrate,minor,Increased risk of myopathy,Monitor for muscle pain,Monitor or adjust doses,Usually manageable with monitoring,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Sitagliptin,Digoxin,minor,May slightly increase digoxin levels,Minimal clinical significance,Monitor or continue with caution,Interaction is typically not clinically relevant,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Tamsulosin,Tadalafil,minor,Additive hypotensive effect,Monitor blood pressure,Monitor or adjust doses,Usually manageable with monitoring,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Vardenafil,Nicardipine,minor,Additive hypotensive effect,Monitor blood pressure,Monitor or adjust doses,Usually manageable with monitoring,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976."
Warfarin,Ginkgo Biloba,minor,May increase bleeding risk,Monitor for bleeding signs,Avoid herbal product,Patient education is important,Ann Pharmacother
